comment,label,cleaned_comment
برخورد پرسنل ، امکانات ، تمیزی ، ترانسفر و بدرقه و مجموعه آبی همه عالی بودند .,1,برخورد پرسنل، امکانات، تمیزی، ترانسفر و بدرقه و مجموعه آبی همه عالی بودند.
من و همسرم یک شب خوب و به یاد ماندنی را تجربه کردیم .,1,من و همسرم یک شب خوب و به یاد ماندنی را تجربه کردیم.
واقعا از اقامتم در این هتل راضی هستم .,1,واقعا از اقامتم در این هتل راضی هستم.
کیفیت کار بالایی را شاهد بودم .,1,کیفیت کار بالایی را شاهد بودم.
از پوشش لباس کارمندان تا سرو و پذیرایی خوراک در رستوران ، همه عالی بودن .,1,از پوشش لباس کارمندان تا سرو و پذیرایی خوراک در رستوران، همه عالی بودن.
با توجه به امکانات بهتر از آن هتل قیمت مناسب‌تری هم داشت .,0,با توجه به امکانات بهتر از آن هتل قیمت مناسب‌تری هم داشت.
این هم قیمت خیلی بالا است .,1,این هم قیمت خیلی بالا است.
این هتل واقعا خوب هست .,1,این هتل واقعا خوب هست.
هتل خوب بود مخصوصا مجموعه استخر .,1,هتل خوب بود مخصوصا مجموعه استخر.
محیط لابی خیلی خوب بود .,1,محیط لابی خیلی خوب بود.
در مجموع خوب بود .,1,در مجموع خوب بود.
هتل خوب .,1,هتل خوب.
هتل خوبی بود .,1,هتل خوبی بود.
هتل ٥ ستاره تاپ محسوب می‌شود .,1,هتل ۵ ستاره تاپ محسوب می‌شود.
ضعف‌های زیادی دارد .,0,ضعف‌های زیادی دارد.
هتل معماری و دکوراسیون بسیار مدرنی دارد .,1,هتل معماری و دکوراسیون بسیار مدرنی دارد.
بسیار ساده و کوچک بود .,0,بسیار ساده و کوچک بود.
 برخورد مسوول خانم رسپشن هتل اصلا درست نبود .,0,برخورد مسوول خانم رسپشن هتل اصلا درست نبود.
اتاقی که به ما دادند یک اتاق بسیار ساده و در طبقات پایین هتل بود.,0,اتاقی که به ما دادند یک اتاق بسیار ساده و در طبقات پایین هتل بود.
مجموعه اسب‌ها و رستوران‌‌ها بسیار عالی بود .,1,مجموعه اسب‌ها و رستوران‌ها بسیار عالی بود.
در بدو ورود به فرودگاه مشهد با برخورد بسیار محبت آمیز پرسنل ترانسفر هتل مواجه شدم .,1,در بدو ورود به فرودگاه مشهد با برخورد بسیار محبت‌آمیز پرسنل ترانسفر هتل مواجه شدم.
مسیر فرودگاه تا هتل طول مسیر بسیار اندک بود .,1,مسیر فرودگاه تا هتل طول مسیر بسیار اندک بود.
برخورد بسیار مودبانه و محبت آمیز پرسنل بود که مرا تحت تاثیر قرا داده است .,1,برخورد بسیار مودبانه و محبت‌آمیز پرسنل بود که مرا تحت تاثیر قرا داده است.
در کمال احترام پذیرش انجام شد .,1,در کمال احترام پذیرش انجام شد.
در مورد صبحانه باید بگویم بی‌نظیر بود .,1,در مورد صبحانه باید بگویم بی‌نظیر بود.
از نظر تمیزی و زیبایی و مدرن بودن بسیار عالی بود .,1,از نظر تمیزی و زیبایی و مدرن بودن بسیار عالی بود.
رستوران‌ها خوب نبود .,0,رستوران‌ها خوب نبود.
هتل بسیار خوب .,1,هتل بسیار خوب.
از اقامت خود بسیار راضی بودم .,1,از اقامت خود بسیار راضی بودم.
تنها ایراد هتل این است که سیستم رزرو اینترنتی بسیار ضعیفی دارد .,0,تنها ایراد هتل این است که سیستم رزرو اینترنتی بسیار ضعیفی دارد.
هتل بسیار شیک و زیبائی بود .,1,هتل بسیار شیک و زیبائی بود.
رستوران اصلی هتل نوع خود خلاقانه و زیباست. ,1,رستوران اصلی هتل نوع خود خلاقانه و زیباست.
متاسفانه هر شب صدای قاشق و چنگال و موسیقی رستوران در تمامی اتاقها شنیده می‌شود .,0,متاسفانه هر شب صدای قاشق و چنگال و موسیقی رستوران در تمامی اتاقها شنیده می‌شود.
فضای هتل هم در نوع خود جالب و دیدنی است .,1,فضای هتل هم در نوع خود جالب و دیدنی است.
برخورد پرسنل بسیار مودبانه بود .,1,برخورد پرسنل بسیار مودبانه بود.
اینکه قسمت رزرواسیون کمی ضعیف عمل می‌کنند .,0,اینکه قسمت رزرواسیون کمی ضعیف عمل می‌کنند.
در ضمن به حرم امن آقا هم نزدیکه من هنوز اینجا هستم و از زیبایی آن لذت دارم می‌برم .,1,در ضمن به حرم امن آقا هم نزدیکه من هنوز اینجا هستم و از زیبایی آن لذت دارم می‌برم.
واقعا لذت بردم از پذیرایی پرسنل این هتل .,1,واقعا لذت بردم از پذیرایی پرسنل این هتل.
اتاق بسیار کوچک .,0,اتاق بسیار کوچک.
رستوران تاریک وخفه .,0,رستوران تاریک وخفه.
بسیار گران و هم کهنه و درونش حشره موج می‌زد .,0,بسیار گران و هم کهنه و درونش حشره موج می‌زد.
با برخورد کاملا بی‌سواد صاحب فروشگاه که هر دو برادر بودند مواجه شدیم .,0,با برخورد کاملا بی‌سواد صاحب فروشگاه که هر دو برادر بودند مواجه شدیم.
هتل پارسیان استقال یکی از بهترین هتل‌‌ها می‌باشد .,1,هتل پارسیان استقال یکی از بهترین هتل‌ها می‌باشد.
در کل راضی بودم .,1,در کل راضی بودم.
میزان آرامشی که برای استراحت و استحمام لازم بود را داشت .,1,میزان آرامشی که برای استراحت و استحمام لازم بود را داشت.
در کل خوب بود .,1,در کل خوب بود.
واقعا وسایل کهنه و قدیمی بودند .,0,واقعا وسایل کهنه و قدیمی بودند.
با توجه به بین‌المللی بودن وتعداد ستاره ، لوازم کهنه وموکت‌ها کثیف بودند .,0,با توجه به بین‌المللی بودن وتعداد ستاره، لوازم کهنه وموکت‌ها کثیف بودند.
ازنظرنظافت اتاق خوب بود .,1,ازنظرنظافت اتاق خوب بود.
تجهیزات واثاثیه کلا کهنه و قدیمی بود.,0,تجهیزات واثاثیه کلا کهنه و قدیمی بود.
برخورد و رفتار کارکنان هتل عالی .,1,برخورد و رفتار کارکنان هتل عالی.
کیفیت غذا و رستوران مطلوب بود .,1,کیفیت غذا و رستوران مطلوب بود.
مخصوصا سرویس بهداشتی با دوش حمام خراب .,0,مخصوصا سرویس بهداشتی با دوش حمام خراب.
آسانسور در زمان ایستادن در طبقات بخصوص هنگام بالا رفتن بنظر میرسد دارای اشکال است .,0,آسانسور در زمان ایستادن در طبقات بخصوص هنگام بالا رفتن بنظر می‌رسد دارای اشکال است.
اتاقها خیلی کوچیک بود و همان بافت قدیمی سرویس بهداشتی و حمام واقعا در شان هتل ۵ ستاره نبود .,0,اتاقها خیلی کوچیک بود و همان بافت قدیمی سرویس بهداشتی و حمام واقعا در شان هتل ۵ ستاره نبود.
آب حمام سرد بود .,0,آب حمام سرد بود.
نهارش کیفیت پایین بود .,0,نهارش کیفیت پایین بود.
استقبال هتل برای یک هتل ۵ ستاره خیلی خیلی ضعیف بود .,0,استقبال هتل برای یک هتل ۵ ستاره خیلی خیلی ضعیف بود.
با توجه به قیمتش واقعا ضعیف بود .,0,با توجه به قیمتش واقعا ضعیف بود.
مهم‌ترین مزیت این هتل نزدیکی به مرکز خرید لاله پارک هست .,1,مهم‌ترین مزیت این هتل نزدیکی به مرکز خرید لاله پارک هست.
موقعیت مکانی به دور از شلوغی شهر است .,1,موقعیت مکانی به دور از شلوغی شهر است.
برخورد کارکنان و پذیرش بسیار عالی است .,1,برخورد کارکنان و پذیرش بسیار عالی است.
خدمات خانه‌داری متوسط و در بخش رستوران ضعیف می‌باشد .,0,خدمات خانه‌داری متوسط و در بخش رستوران ضعیف می‌باشد.
هزینه غذا بخصوص در بخش ویلائی آن چند برابر معمول محاسبه می‌گردد .,0,هزینه غذا بخصوص در بخش ویلائی آن چند برابر معمول محاسبه می‌گردد.
در کل هتل تمیزی بود .,1,در کل هتل تمیزی بود.
به نسبت قیمت با سایر هتل‌‌ها مناسب بود .,1,به نسبت قیمت با سایر هتل‌ها مناسب بود.
نزدیک بودن هتل به دریا نیز از مزایای آن است .,1,نزدیک بودن هتل به دریا نیز از مزایای آن است.
یک هتل خوب با قیمت مناسب .,1,یک هتل خوب با قیمت مناسب.
در بهترین نقطه تهران از لحاظ نزدیکی به مراکز اداری .,1,در بهترین نقطه تهران از لحاظ نزدیکی به مراکز اداری.
همه چیز نسبتا خوب بود .,1,همه چیز نسبتا خوب بود.
متاسفانه علی رغم پنج ستاره بودن این هتل اصلا نباید شکل اتاق‌ها این گونه قدیمی باشد .,0,متاسفانه علی‌رغم پنج ستاره بودن این هتل اصلا نباید شکل اتاق‌ها این‌گونه قدیمی باشد.
تختها دیگر عمرشان به پایان رسیده باید تعویض شوند .,0,تختها دیگر عمرشان به پایان رسیده باید تعویض شوند.
به خاطر برخورد خوب کارمندان ازهتل هما ۲ رضایت خاطر دارم .,1,به خاطر برخورد خوب کارمندان ازهتل هما ۲ رضایت خاطر دارم.
همه چه خوب و عالی بود .,1,همه چه خوب و عالی بود.
وان حمام نداشت باز هم عالی بود .,1,وان حمام نداشت باز هم عالی بود.
هر بار هتل‌های ۵ ستاره و خوب را رفتیم .,1,هر بار هتل‌های ۵ ستاره و خوب را رفتیم.
این هتل به نظرم بسیار بسیار خوب و همه چی در حد عالی بود .,1,این هتل به نظرم بسیار بسیار خوب و همه چی در حد عالی بود.
رفتار پرسنل بسیار مودب و با محبت .,1,رفتار پرسنل بسیار مودب و با محبت.
تمیزی و سرویس‌دهی عالی .,1,تمیزی و سرویس‌دهی عالی.
کیفیت رستوران و صبحانه بسیار عالی و خوشمزه .,1,کیفیت رستوران و صبحانه بسیار عالی و خوشمزه.
انتخاب خیلی خوبی هست .,1,انتخاب خیلی خوبی هست.
مخصوصا که نوساز هست .,1,مخصوصا که نوساز هست.
تمام وسایل نو و شیک .,1,تمام وسایل نو و شیک.
آن قدر همه چه عالی بود که من سختگیر و سخت‌پسند را متقاعد کرد .,1,آن‌قدر همه چه عالی بود که من سختگیر و سخت‌پسند را متقاعد کرد.
این هتل رویایی بود .,1,این هتل رویایی بود.
همه چه فوق‌العاده بود .,1,همه چه فوق‌العاده بود.
رفتار کارکنان ، تمیزی هتل ، فضای داخل اتاق‌ها ، کیفیت صبحانه ، همه و همه عالی بودند .,1,رفتار کارکنان، تمیزی هتل، فضای داخل اتاق‌ها، کیفیت صبحانه، همه و همه عالی بودند.
این هتل عالی بود .,1,این هتل عالی بود.
دوش ساده بود .,0,دوش ساده بود.
تختهای اضافه داخل سایت بسیار فرسوده و غیر استاندارد بودند .,0,تختهای اضافه داخل سایت بسیار فرسوده و غیر استاندارد بودند.
من و خانمم برای ماه عسل به هتل شما آمدیم هتل خوبی بود .,1,من و خانمم برای ماه‌عسل به هتل شما آمدیم هتل خوبی بود.
همه چیزش احساس میکنم منظم و اصولی بود .,1,همه چیزش احساس می‌کنم منظم و اصولی بود.
هتل خوبی هست .,1,هتل خوبی هست.
افراد بی‌تجربه و بی‌صداقتی آنجا را اداره می‌کنند .,0,افراد بی‌تجربه و بی‌صداقتی آنجا را اداره می‌کنند.
شیک ، خوش مسیر ، فول امکانات و برخورد و سرویس‌دهی پرسنل بی‌نظیر من بالا‌ترین امتیاز را به آن می‌دهم .,1,شیک، خوش مسیر، فول امکانات و برخورد و سرویس‌دهی پرسنل بی‌نظیر من بالا‌ترین امتیاز را به آن می‌دهم.
صبحانه‌ فوق‌العاده است و هرچیزی که فکر شو بکنید دارد و کامل هست حتما امتحانش کنید .,1,صبحانه فوق‌العاده است و هرچیزی که فکر شو بکنید دارد و کامل هست حتما امتحانش کنید.
عالی هست .,1,عالی هست.
همه چیز عالی و دربالاترین سطح خودش بو د .,1,همه چیز عالی و دربالاترین سطح خودش بو د.
توصیه می‌کنم اگر انتخاب هتلی آرام و تمیز را برای سفر در کیش قصد دارید این هتل ، بسیار مناسب هست .,1,توصیه می‌کنم اگر انتخاب هتلی آرام و تمیز را برای سفر در کیش قصد دارید این هتل، بسیار مناسب هست.
برخورد کارکنان خیلی خوب بود .,1,برخورد کارکنان خیلی خوب بود.
از لحاظ تمیزی قابل قبول بود .,1,از لحاظ تمیزی قابل‌قبول بود.
چیز دیگری که من را بسیار اذیت کرد بوی بسیار بد راهرو بود .,0,چیز دیگری که من را بسیار اذیت کرد بوی بسیار بد راهرو بود.
هتل از نظر موقیعت مکانی عالی است .,1,هتل از نظر موقیعت مکانی عالی است.
سرویس بهداشتی شیر آلات کدر و جرم گرفته .,0,سرویس بهداشتی شیر آلات کدر و جرم گرفته.
پرده سفید آویزان در حمام کثیف متمایل به زرد .,0,پرده سفید آویزان در حمام کثیف متمایل به زرد.
حوله‌‌های حمام کدر بود .,0,حوله‌های حمام کدر بود.
مبلمان اتاق فرسوده و کثیف .,0,مبلمان اتاق فرسوده و کثیف.
صبحانه بسیار محدود .,0,صبحانه بسیار محدود.
هتل از نظر دید بسیار عالی هست .,1,هتل از نظر دید بسیار عالی هست.
خدمه با ادب.,1,خدمه با ادب.
 افسوس که ظاهرا از هتل کار کشیدن و کم‌تر خرج کردند .,0,افسوس که ظاهرا از هتل کار کشیدن و کم‌تر خرج کردند.
بهر حال هتل خوبی هست .,1,بهر حال هتل خوبی هست.
کف اتاقها تمیز نبود .,0,کف اتاقها تمیز نبود.
دیوار‌‌ها کمی نم داشت.,1,دیوار‌ها کمی نم داشت.
دیوارپوش سالم و تمیز .,1,دیوارپوش سالم و تمیز.
سرویس بهداشتی کهنه‌شده .,0,سرویس بهداشتی کهنه‌شده.
تلویزیون خراب.,0,تلویزیون خراب.
مینی بار با کیفیت پایین و گران .,0,مینی بار با کیفیت پایین و گران.
به مسئولان پذیرش اعلام نمودیم که از اتاق راضی نیستیم و آن را عوض کنید. ,0,به مسئولان پذیرش اعلام نمودیم که از اتاق راضی نیستیم و آن را عوض کنید.
سرویس توالت در جای نامناسبی قرار دارد .,0,سرویس توالت در جای نامناسبی قرار دارد.
از نظر نظافت و پاکیزگی خوب و از نظر برخورد کارمندان عالی است .,1,از نظر نظافت و پاکیزگی خوب و از نظر برخورد کارمندان عالی است.
همه چیز عالی .,1,همه چیز عالی.
بسیار مکان آرام و دلپذیری بود .,1,بسیار مکان آرام و دلپذیری بود.
در طول مدت اقامتمان به همراه همسرم بسیار سفر خوشی را تجربه کردیم .,1,در طول مدت اقامتمان به همراه همسرم بسیار سفر خوشی را تجربه کردیم.
فضای هتل بسیار آرام و پرسنل مودب بودند .,1,فضای هتل بسیار آرام و پرسنل مودب بودند.
بوفه صبحانه و ناهار کاملا قابل قبول و استخرش بسیار خلوت و تمیز .,1,بوفه صبحانه و ناهار کاملا قابل‌قبول و استخرش بسیار خلوت و تمیز.
همه چیز عالی بود .,1,همه چیز عالی بود.
از کلیه امکانات پذیرائی نهار وصبحانه استخر برخورد پرسنل راضی هستیم .,1,از کلیه امکانات پذیرائی نهار وصبحانه استخر برخورد پرسنل راضی هستیم.
معماری هتل و پارک آن خیلی خوب بود .,1,معماری هتل و پارک آن خیلی خوب بود.
درلابی هتل پیانو می‌نواختند و فضای عالی داشت .,1,درلابی هتل پیانو می‌نواختند و فضای عالی داشت.
غذا‌ها متنوع وتمییز وخوب بودند .,1,غذا‌ها متنوع وتمییز وخوب بودند.
سرویس‌های بهداشتی به روز و تمییز بودند .,1,سرویس‌های بهداشتی به‌روز و تمییز بودند.
فضای هتل آرام و باصفا بود .,1,فضای هتل آرام و باصفا بود.
بسیار عالی و آرامش بخش .,1,بسیار عالی و آرامش‌بخش.
سالن نمایش هتل هم میزبان برنامه شبانگاهی بسیار عالی بود .,1,سالن نمایش هتل هم میزبان برنامه شبانگاهی بسیار عالی بود.
موقعیت مکانی خوب هتل .,1,موقعیت مکانی خوب هتل.
ساختمان مناسب .,1,ساختمان مناسب.
متاسفانه کارکنان هتل و برخورد نامناسب آنان بسیار موجب ناراحتی ما در طول اقامت در این هتل شدند .,1,متاسفانه کارکنان هتل و برخورد نامناسب آنان بسیار موجب ناراحتی ما در طول اقامت در این هتل شدند.
معماری و طراحی متفاوت ویژگی منحصر به فردی به هتل داده است .,1,معماری و طراحی متفاوت ویژگی منحصر به فردی به هتل داده است.
پرسنل هتل آموزش ندیده‌اند و تقریبا مهارت علمی و حرفه‌ای در این زمینه ندارند .,0,پرسنل هتل آموزش ندیده‌اند و تقریبا مهارت علمی و حرفه‌ای در این زمینه ندارند.
همه چیز عالی بود .,1,همه چیز عالی بود.
تمیز زیبا .,1,تمیز زیبا.
آرام .,1,آرام.
در کل در آنجا خیلی به ما خوش گذشت .,1,در کل در آنجا خیلی به ما خوش گذشت.
برخورد بسیار بسیار افتضاح کارمندان هتل درحد خود بینظیر بود .,0,برخورد بسیار بسیار افتضاح کارمندان هتل درحد خود بینظیر بود.
یک هتل تمیز می‌باشد فعلا همین و بس .,1,یک هتل تمیز می‌باشد فعلا همین و بس.
واقعا عالی هست .,1,واقعا عالی هست.
پرسنل مودب .,1,پرسنل مودب.
غذا خوب .,1,غذا خوب.
محیط بسیار زیبا و تمیز .,1,محیط بسیار زیبا و تمیز.
مقداری گران‌ بود .,0,مقداری گران بود.
برخورد کارمندان پذیرش عالی بود .,1,برخورد کارمندان پذیرش عالی بود.
بعد از پی‌گیری ما را به اتاق بسیار بزرگی در طبقه همکف راهنمایی کردند که بسیار راحت بود .,1,بعد از پی‌گیری ما را به اتاق بسیار بزرگی در طبقه همکف راهنمایی کردند که بسیار راحت بود.
خارق العاده .,1,خارق‌العاده.
هتل ساحلی بسیار زیبا با فضای کاملا آرام است .,1,هتل ساحلی بسیار زیبا با فضای کاملا آرام است.
کارمندان آن خوش اخلاق می‌باشند .,1,کارمندان آن خوش‌اخلاق می‌باشند.
عالی .,1,عالی.
عالی .,1,عالی.
عالی .,1,عالی.
بسیار عالی .,1,بسیار عالی.
همه چیز مرتب و تمیز .,1,همه چیز مرتب و تمیز.
فوق‌العاده آرامش بخش .,1,فوق‌العاده آرامش‌بخش.
فضای بسیار اختصاصی و دنج .,1,فضای بسیار اختصاصی و دنج.
دسترسی سریع به ساحل .,1,دسترسی سریع به ساحل.
اتاق‌های شیک .,1,اتاق‌های شیک.
همه چیز عالی بود .,1,همه چیز عالی بود.
رستوران و کیفیت غذا‌هایش عالی هست .,1,رستوران و کیفیت غذا‌هایش عالی هست.
اتاق‌ها بسیار تمیز و شیک و آرام و دنج هستند .,1,اتاق‌ها بسیار تمیز و شیک و آرام و دنج هستند.
محوطه و فضای بیرون هتل فوق‌العاده زیبا و آرامش بخش هست .,1,محوطه و فضای بیرون هتل فوق‌العاده زیبا و آرامش‌بخش هست.
نزدیکی به دریا و اسکله تفریحی نزدیکی به رستوران درجه یک شاندیز صفدری که انصافا هم غذا‌ها و هم موسیقی خیلی عالی بود .,1,نزدیکی به دریا و اسکله تفریحی نزدیکی به رستوران درجه یک شاندیز صفدری که انصافا هم غذا‌ها و هم موسیقی خیلی عالی بود.
هتل از نظر اتاقها بسیار تمیز ، روشن و دلباز بودند .,1,هتل از نظر اتاقها بسیار تمیز، روشن و دلباز بودند.
رستوران دارای نظم و نظافت خوب .,1,رستوران دارای نظم و نظافت خوب.
صبحانه و ناهار عالی می‌باشد .,1,صبحانه و ناهار عالی می‌باشد.
فضای بیرونی هتل بسیار زیبا وآرامش بخش است .,1,فضای بیرونی هتل بسیار زیبا وآرامش بخش است.
من و تمام اعضا خانواده بسیار راضی بودیم .,1,من و تمام اعضا خانواده بسیار راضی بودیم.
امیدواروم که به شما هم خوش بگذرد .,1,امیدواروم که به شما هم خوش بگذرد.
هتل از همه نظر عالی هست .,1,هتل از همه نظر عالی هست.
اتاق‌‌ها بسیار زیبا ، لوکس ، بزرگ و هرچیزی که یک اتاق خوب باید داشته باشد را داشت .,1,اتاق‌ها بسیار زیبا، لوکس، بزرگ و هرچیزی که یک اتاق خوب باید داشته باشد را داشت.
